代號,補習班,班址,電話,立案文號,立案日期
33202311060002,華鈞文教事業股份有限公司附設私立華鈞文理短期補習班,大園區新生路四段121號2樓、123號2樓部分,(03)2872985,府教終字第1120269165號,2023-11-07
33202311060001,私立福克斯文理短期補習班致遠分班,中壢區致遠一路276號1-2樓及278號1-2樓,(03)2870630,府教終字第1120272505號,2023-11-01
33202310310001,私立樂智英語文理短期補習班,桃園市龜山區文東五街78號1樓,(03)397-0509,府教終字第1120271287號,2023-10-31
33202310250001,私立學育文理短期補習班育才分班,中壢區文化路140號1-4樓,(03)4511560,府教終字第1120272789號,2023-10-25
33202310160001,私立專進文理短期補習班,大園區中正二街48號1樓,0982633353,府教終字第1120267262號,2023-10-16
33202310130001,私立學好文理短期補習班,中壢區中央西路二段268號5樓,(03)4950016,府教終字第1120198430號,2023-10-13
33202310050001,私立得餘文理短期補習班,蘆竹區光明路二段20號1樓、22號1樓,(03)3526527,府教終字第1120247742號,2023-10-05
33202310060001,私立西門甲子文理短期補習班,桃園區中福街54號1-3樓,(03)3360060,府教終字第1120251485號,2023-10-04
33202310020001,私立二聖文理短期補習班,大園區中正二街39號1樓部分2樓全部,(03)3868808,府教終字第1120264180號,2023-10-02
33202310040001,私立津煜文理短期補習班普仁分班,中壢區普光二街85巷15號4樓,(03)4562617,府教終字第1120266671號,2023-09-28
33202309080001,高明一對一學習有限公司私立高銘一對一文理短期補習班桃園分班,桃園區桃園區大同路13號4樓,(03)3378000,府教終字第1120216142號,2023-09-08
33202308310001,私立騛騰文理短期補習班,平鎮區廣泰路201巷22號1-2樓、26號1樓,(03)4952285,府教終字第1120207848號,2023-08-31
33202308230001,私立智森文理短期補習班,桃園區自強路77號1樓,(03)3311155,府教終字第1120198712號,2023-08-21
33202307260001,私立智墨文理短期補習班,桃園區文中路133號1-5樓,(03)2170037,府教終字第1120165617號,2023-07-25
33202307250001,私立葛萊文理短期補習班八德分班,八德區介壽路一段985號1-3樓,(03)3610885,府教終字第1120165080號,2023-07-21
33202307200001,私立霆磊文理短期補習班,中壢區治平街41號3樓,(03)4656194,府教終字第1120159874號,2023-07-18
33202307180001,私立凱洛斯文理短期補習班,龜山區光峯路299號1-3樓,(03)3200727,府教終字第1120170557號,2023-07-18
33202307060001,私立蘿芙莉文理技藝短期補習班龜山分班,龜山區自強南路81巷26號1-4樓,0939917086,府教終字第1120152759號,2023-07-06
33202306280001,私立群峰文理短期補習班,平鎮區康樂路47號1樓全部2樓部分,0920282279,府教終字第1120167884號,2023-06-28
33202306270001,私立資優勵德文理短期補習班,平鎮區復興街46號1-3樓,(03)4935600,府教終字第1120155550號,2023-06-27
33202306260001,曜暻有限公司附設私立群英文理短期補習班藝文中茂分班,桃園區同德五街63、65、67號7樓,(03)3251561,府教終字第1120137377號,2023-06-26
33202306200002,私立奇異鳥平安短期補習班,桃園區縣府路98號4樓,(03)3472977,府教終字第1120140328號,2023-06-20
33202306160001,品學文化有限公司附設私立孟睿文理短期補習班,蘆竹區長春路75號1樓,(03)2220101,府教終字第1120141124號,2023-06-16
33202306200001,高明一對一學習有限公司附設私立高銘一對一文理短期補習班慈文分班,桃園區中正路905號1-2樓,(03)3556888,府教終字第1120121517號,2023-06-15
33202306140001,私立遇見舞蹈技藝短期補習班,桃園區南平路213號3樓之3,0931079059,府教終字第1120119683號,2023-06-12
33202306080001,私立沐恩文理短期補習班,中壢區長江路27號1-4樓,(03)4266364,府教終字第1120134309號,2023-06-06
33202306010001,私立學文文理短期補習班,楊梅區校前路30號1-3樓,(03)4883232,府教終字第1120115439號,2023-05-29
33202305220001,私立穩上文理短期補習班,八德區豐田路7號1-2樓,(03)3627312,府教終字第1120094057號,2023-05-18
33202305040001,私立傑聖升文文理短期補習班,八德區福僑街62號1-2樓,0938772938,府教終字第1120094900號,2023-05-04
33202305020001,私立衛斯理文理語文短期補習班,桃園區大興西璐三段166號2-3樓,(03)3018836,府教終字第1120077071號,2023-05-01
33202304280002,私立祥耀文理短期補習班,中壢區中正路4段107號1樓,(03)4980101,府教終字第1120083725號,2023-04-27
33202304280001,私立睿儀文理短期補習班,中壢區松勇路39號1樓,(03)4200817,府教終字第1120084582號,2023-04-27
33202304250001,私立澧森文理短期補習班,大園區大豐四街32號1樓及大豐二街69號1樓,(03)2870170,府教終字第1120079928號,2023-04-25
33202304060001,私立喬恩美語文理短期補習班,八德區忠勇街348號2-3樓,(03)3759955,府教終字第1120052013號,2023-03-31
33202303270002,朝陽富元教育股份有限公司附設私立朝揚文理短期補習班中路分班,桃園區正光一街201號1-2樓,(03)2172088,府教終字第1120054137號,2023-03-25
33202303250001,私立育冠文理短期補習班,蘆竹區南福街60巷7號1-4樓,(03)3129555,府教終字第1120053425號,2023-03-24
33202303270001,私立傑聖大興文理技藝短期補習班,桃園區大興西路二段35號2樓之1,(03)2150515,府教終字第1120052193號,2023-03-24
33202303250002,私立嘉德琳渴望技藝文理短期補習班,龍潭區渴望二路100巷17號2樓,(03)4072981,府教終字第1120067734號,2023-03-23
33202303080001,私立昊德大業文理短期補習班,桃園區民光東路262號1樓及夾層,(03)3173527,府教終字第1120026676號,2023-03-07
33202302240001,私立跨越文理短期補習班,蘆竹區仁愛路三段1號2樓,(03)3525903,府教終字第1120021123號,2023-02-24
33202302230001,私立弘勗文理短期補習班,中壢區松義路137號1樓、139號1樓及松義二街101號1樓,(03)4905116,府教終字第1120013491號,2023-02-20
33202302150002,私立彩曦文理短期補習班青埔分班,大園區青埔路二段18、20號1-2樓,(03)2870686,府教終字第1120012695號,2023-02-15
33202302130001,私立育碩文理短期補習班,蘆竹區中山路9號1樓,(03)2225808,府教終字第1120023877號,2023-02-13
33202302150001,私立布萊登文理短期補習班,觀音區中山路二段522號3樓之1、3樓之2、4樓之1、4樓之2,(03)4980741,府教終字第1110366088號,2023-02-13
33202302100001,私立逗點展翅文理短期補習班,大園區大勇路33號1樓,(03)2873931,府教終字第1110366580號,2023-02-10
33202302070001,私立逗點極光文理短期補習班,平鎮區復旦路二段150巷279、283號1-2樓(含夾層),(03)4923140,府教終字第1110361427號,2023-02-07
33202302030001,私立頌博識文理短期補習班,中壢區福州二街417號1樓及福安二街5巷3號2樓,(03)4333440,府教終字第1110361157號,2023-01-31
33202301300001,"私立巡禮之年音樂 技藝短期補習班",中壢區領航南路二段195及197號1樓,(03)2872502,府教終字第1110352973號,2023-01-17
33202301170001,私立福克斯文理短期補習班旗艦分班,中壢區中豐路17號1樓,(03)4250321,府教終字第1110353342號,2023-01-10
33202212280001,私立棧棧美語文理短期補習班,大園區致遠一路63號1-3樓,(03)2872127,府教終字第1110335358號,2022-12-27
33202212260001,粒豆美語文教股份有限公司附設私立粒豆文理短期補習班,桃園區正光一街100號1樓及夾層,(03)3600330,府教終字第1110331501號,2022-12-26
33202212260003,私立心苑文理短期補習班,中壢區青商路13號1樓,(03)2875835,府教終字第1110338131號,2022-12-23
33202212260002,私立同學家文理短期補習班,中壢區青商路56號1樓,0910757767,府教終字第1110339084號,2022-12-23
33202212140001,私立芮宇文理短期補習班,龍潭區大同路168號1樓,0988313096,府教終字第1110328218號,2022-12-09
33202212010001,私立興儒文理短期補習班埔心分班,楊梅區瑞溪路二段80號1樓及96巷10號1-4樓,(03)4813888,府教終字第1110307416號,2022-11-29
33202212080001,私立菲比斯文理短期補習班,中壢區松德路125號1樓及夾層,(03)4205140,府教終字第1110300437號,2022-11-22
33202211240001,私立愛玩藝翻轉教室技藝文理短期補習班,中壢區文智路138號2樓及文德路98號2樓,(03)2872788,府教終字第1110304258號,2022-11-22
33202211140001,私立等等插畫技藝文理短期補習班,蘆竹區中山路16號3樓,(03)3222953,府教終字第1110311721號,2022-11-14
33202211110001,私立有形有色文理技藝短期補習班,龜山區長慶三街60號1樓及79號1樓,(03)3971377,府教終字第1110282241號,2022-11-11
33202210210001,私立遊牧文理短期補習班,桃園區同安街558號1樓,0968158122,府教終字第1110272280號,2022-10-19
33202210210002,私立貝兒語文文理短期補習班,桃園區力行路729號1樓,(03)3603268,府教終字第1110256016號,2022-10-19
33202209270001,私立興儒文理短期補習班藝文分班,桃園市桃園區大興西路218號2樓、220號2樓,(03)2717322,府教終字第1110249720號,2022-09-26
33202209270002,私立興儒文理短期補習班市府二分班,桃園區復興路393號4樓之1,(03)3349333,府教終字第1110249721號,2022-09-26
33202209270004,私立皮克西文理技藝短期補習班,桃園區文中三路58-1號1-2樓,(03)3609856,府教終字第1110249722號,2022-09-26
33202209270003,私立李紹陽西門文理短期補習班,桃園區中山路382號3樓之1,(03)3367333,府教終字第1110249723號,2022-09-26
33202209010001,私立自強桃一文理短期補習班,桃園區成功路一段31之6號7樓,(03)3356300,府教終字第1110210681號,2022-09-01
33202208230001,私立奧首華文理短期補習班,桃園區大有路738號1-2樓,(03)3587231,府教終字第1110213736號,2022-08-23
33202208220001,私立築誠文理短期補習班,中壢區中山路88號19樓,(03)4229966,府教終字第1110208805號,2022-08-19
33202208190003,私立真藝技藝短期補習班,中壢區復興路35號2樓,(03)4260686,府教終字第1110196249號,2022-08-17
33202208170001,極合教育科技股份有限公司附設私立極上一對一桃中文理短期補習班,桃園區中正路961號2-5樓,(03)3585825,府教終字第1110195192號,2022-08-17
33202208190001,私立草新文理短期補習班,觀音區新生路1711號1-2樓,(03)4389577,府教終字第1110211069號,2022-08-15
33202208190002,私立愛苙薇文理短期補習班,中壢區林森路187號1-2樓,(03)4679391,府教終字第1110211714號,2022-08-15
33202208170002,私立乖乖文理技藝短期補習班,中壢區內定二街139巷121弄7號2樓,(03)4557237,府教終字第1110204839號,2022-08-11
33202207290001,赫連電腦有限公司附設私立赫連技藝短期補習班,中壢區中山路141號6樓及7樓,(03)4279988,府教終字第1110174359號,2022-07-22
33202207210001,私立儀傑美術數學技藝文理短期補習班,蘆竹區吉林路132巷3號1樓,(03)3213699,府教終字第1110170288號,2022-07-20
33202207070001,私立才華文理短期補習班,龜山區復興二路85號1樓,(03)3184070,府教終字第1110167861號,2022-07-07
33202207010001,私立芸軒文理技藝短期補習班仁和分班,大溪區埔頂路一段146號1-4樓,(03)3893046,府教終字第1110143128號,2022-07-01
33202207050001,品宏事業有限公司附設私立品宏文理短期補習班,中壢區富裕街52號1樓,(03)4350106,府教終字第1110168043號,2022-07-01
33202206230001,私立精銳技藝短期補習班,桃園區敬二街5號2樓,(03)3177775,府教終字第1110157191號,2022-06-23
33202206220001,私立誠禎文理短期補習班,平鎮區中豐路269巷18號1樓,(03)4573800,府教終字第1110145428號,2022-06-20
33202206200001,私立起點文理短期補習班,桃園區國際路二段15號1至2樓,(03)2171950,府教終字第1110147819號,2022-06-17
33202206160002,私立閎墨文理短期補習班,平鎮區育達路245號1-2樓,(03)4933948,府教終字第1110130278號,2022-06-16
33202206160001,私立李萬文理短期補習班,龍潭區神龍路405號1樓及407號1樓,(03)4809111,府教終字第1110138283號,2022-06-14
33202206100001,私立諾異斯音樂技藝短期補習班,蘆竹區大新路115號1-2樓,(03)3234382,府教終字第1110116533號,2022-06-09
33202205300001,青山塾股份有限公司附設私立青山塾文理短期補習班,龜山區文青路195號2樓,(03)3277582,府教終字第1110114745號,2022-05-30
33202205270001,私立帝逵文理技藝短期補習班,桃園區同安街529、531號1樓,(03)3580969,府教終字第1110116770號,2022-05-27
33202205200001,私立辰米技藝短期補習班,大溪區中正東路22巷1號1-2樓,(03)3881699,府教終字第1110101885號,2022-05-20
33202205190001,何嘉仁文教事業股份有限公司附設私立華亞文理短期補習班,龜山區華亞三路39巷31號1樓,(03)3281555,府教終字第1110089555號,2022-05-19
33202205100001,極合教育科技股份有限公司附設私立極上一對一南平文理短期補習班,桃園區南平路546號3樓,(03)3468812,府教終字第1110103130號,2022-05-10
33202205090001,學旅文創有限公司附設私立舞動世界藝文技藝短期補習班,桃園區中正路1226之2號(3樓),(03)3256872,府教終字第1110099905號,2022-05-09
33202205050001,私立金赫文理短期補習班,中壢區廣州路15號2樓,(03)4688950,府教終字第1110093516號,2022-05-03
33202205040001,私立科思文理短期補習班,八德區建國路1134-1號2樓,0928948845,府教終字第1110076112號,2022-05-03
33202205020001,私立雪米文理短期補習班,桃園區桃一街87號1樓,(03)3339860,府教終字第1110075700號,2022-05-02
33202204150001,私立旭揚文理短期補習班,平鎮區平東路86巷18弄26號1-4樓,(03)4505876,府教終字第1110064329號,2022-04-15
33202204140002,私立鴻鵠文理短期補習班,蘆竹區中山路72號2樓,(03)2228450,府教終字第1110063444號,2022-04-14
33202204140001,私立晨曦文理短期補習班,龜山區龍鳳街29巷1、3號1樓,(02)82090899,府教終字第1110069994號,2022-04-14
33202203290001,私立文鼎語文文理短期補習班,八德區忠勇五街26號2樓,(03)3661993,府教終字第1110056519號,2022-03-29
33202203150002,私立奧斯汀文理短期補習班國際教育分班,桃園區莊一街108號2樓,(03)3027789,府教終字第1110055823號,2022-03-15
33202203150001,私立方華文理短期補習班龍岡分班,中壢區中龍街19號1-3樓,(03)4568880,府教終字第1110034942號,2022-03-10
