代號,補習班,班址,電話,立案文號,立案日期
62202409270001,臺南市私立理奧文理短期補習班,永康區復華七街57號1-2樓,(06)2043998,南市教社字第1132226681號,2024-11-01
62202409250001,臺南市私立愛塔澈文理短期補習班,安南區安富街6號1-2樓,(06)3582569,南市教社字第1132179978號,2024-10-28
62202410140001,臺南市私立向上文理短期補習班,東區東寧路333號1-2樓,(06)2082509,南市教社字第1132250156號,2024-10-22
62202410140002,典陸教育科技股份有限公司附設臺南市私立典陸文理短期補習班文元分班,北區文成五路296號1-2樓,(06)2516272,南市教社字第1132248938號,2024-10-22
62202410080001,臺南市私立幼柏士文理短期補習班佳里分班,佳里區祥和五街115號1-2樓,(06)7232526,南市教社字第1132216190號,2024-10-15
62202408130001,享學趣文教有限公司附設臺南市私立金崑山文理技藝短期補習班,永康區大灣路942巷226號1-2樓,(06)2050226,南市教社字第1132163345號,2024-10-14
62202408140001,臺南市私立沐子文理技藝短期補習班,安南區安西路217號1-2樓,(06)2471827,南市教社字第1132162442號,2024-10-09
62202409160003,蘋果芽數位科技股份有限公司附設臺南市私立橘子蘋果電腦文理技藝短期補習班,東區東寧路西段24號1-2樓,02-7709-8229,南市教社字第1132156643號,2024-10-08
62202409160005,杏薪教育科技股份有限公司附設臺南市私立愛文元文理短期補習班,北區海安路三段772號1-2樓,(06)2517897,南市教社字第1132147397號,2024-10-08
62202409160004,杏薪教育科技股份有限公司附設臺南市私立愛德光文理短期補習班,東區崇學路107號1樓、1樓夾層、2樓,(06)2670538,南市教社字第1132147644號,2024-10-08
62202409160002,臺南市私立森山思塾科學文理短期補習班,北區長榮路五段6之2號1-2樓,(06)2081258,南市教社字第1132131855號,2024-09-30
62202409160001,臺南市私立喬智文理短期補習班,東區莊敬路13號1-2樓,(06)2080724,南市教社字第1132131864號,2024-09-30
62202408010002,臺南市私立小金羊文理短期補習班,永康區東橋一路572號1-3樓,(06)3021223,南市教社字第1132017028號,2024-08-30
62202408060001,臺南市私立迎家文理短期補習班,安平區怡平路415號1-2樓,(06)2985669,南市教社字第1131168228號,2024-08-28
62202408010001,臺南市私立叡德文理短期補習班,東區崇善路177號1-3樓,(06)2680344,南市教社字第1131076968號,2024-08-16
62202407230001,臺南市私立雪人文理短期補習班安南分班,安南區安中路三段314號1-2樓,0985294001,南市教社字第1131057835號,2024-08-06
62202406210001,臺南市私立尚育文理短期補習班永大分班,永康區永大路二段410號2樓,(06)2053418,南市教社字第1131048276號,2024-08-05
62202406270001,傑競弘升文教事業股份有限公司附設臺南市私立傑晉文理短期補習班,安南區安中路三段201號1-3樓,(06)2470320,南市教社字第1130984688號,2024-08-01
62202405280001,嶺瀚文教事業有限公司附設臺南市私立非凡文理短期補習班海佃分班,安南區安富街143號1-2樓,(06)2500899,南市教社字第1131033827號,2024-07-29
62202407100001,臺南市私立陞達文理短期補習班,北區海安路三段817號2樓,(06)2828521,南市教社字第1130987466號,2024-07-19
62202406060003,典陸教育科技股份有限公司附設臺南市私立典陸文理短期補習班,東區怡東路151號1-2樓,(06)3310569,南市教社字第1131007274號,2024-07-19
62202406060001,臺南市私立讀思塾文理短期補習班,善化區西拉雅大道398之1號1樓,(06)5836040,"南市教社字第 1130962028號",2024-07-11
62202406200001,瑀睿文教事業有限公司附設臺南市私立恩睿文理技藝短期補習班,永康區大橋二街267號1-2樓、273號1-2樓,(06)3022333,南市教社字第1130962033號,2024-07-11
62202406120001,臺南市私立金鑫安文理短期補習班,安平區建平十一街262號1-2樓,(06)2996929,南市教社字第1130920922號,2024-07-04
62202405300001,臺南市私立清水城文理短期補習班,永康區中華西街98號1-2樓,(06)6020888,南市教社字第1130830875號,2024-06-17
62202406060002,臺南市私立巷內學堂文理短期補習班,東區崇明十三街7號1-2樓,(06)2604572,南市教社字第1130828395號,2024-06-12
62202405210001,臺南市私立尚學樂文理短期補習班,東區東成街79號1樓,(06)2678641,南市教社字第1130748391號,2024-05-29
62202405010001,臺南市私立學知文理技藝短期補習班,永康區大橋一街103巷151號1-2樓,(06)3035098,南市教社字第1130689923號,2024-05-17
62202404290001,臺南市私立威者文理短期補習班,安南區安中路三段375巷1號1-2樓,(06)2475247,南市教社字第1130641801號,2024-05-15
62202404190001,恩丞文教股份有限公司附設臺南市私立明瀚文理短期補習班,安南區永續十街96號1-2樓,0978752066,南市教社字第1130670058號,2024-05-14
62202404260001,臺南市私立宇雯文理短期補習班,東區崇學路206號1-2樓,(06)2699789,南市教社字第1130621045號,2024-05-01
62202402230001,臺南市私立學養文理短期補習班,東區裕文路70之1號1-2樓,(06)3316117,南市教社字第1130361714號,2024-03-14
62202402160001,臺南市私立匡鴻文理短期補習班,新化區中山路135號1-2樓,(06)5900097,南市教社字第1130347594號,2024-03-11
62202402170001,臺南市私立詹老師文理短期補習班,東區崇德三街58號1-2樓,(06)3352528,南市教社字第1130309573號,2024-02-27
62202402060001,臺南市私立美勢達文理技藝短期補習班,安平區文平路187巷38號1-2樓,(06)2955938,南市教社字第1130294327號,2024-02-27
62202402170003,希橙文創有限公司附設臺南市私立明金文理短期補習班,東區崇明路618號1-3樓,(06)2909697,南市教社字第1130309669號,2024-02-27
62202402170002,臺南市私立好兒童英語會話文理短期補習班,東區崇學路96巷30號1-2樓,(06)2600526,南市教社字第1130296702號,2024-02-26
62202401240001,臺南市私立學尚文理短期補習班,安平區華平路559號1-2樓,(06)2955522,南市教社字第1130184674號,2024-02-15
62202401230001,臺南市私立德樂文理短期補習班,北區大興街583號1-2樓,(06)2586641,南市教社字第1130194694號,2024-01-31
62202401110001,臺南市私立放心學文理短期補習班,善化區西拉雅大道410之1號1樓,(06)5836040,南市教社字第1130150520號,2024-01-24
62202401040001,臺南市私立高碩文理短期補習班,安南區宜居路386號1-2樓、388號1-2樓,(06)2590666,南市教社字第1130108185號,2024-01-22
62202401020001,臺南市私立哈波特文理技藝短期補習班,北區開元路71巷26號1樓,(06)2085390,南市教社字第1130104892號,2024-01-19
62202312280001,臺南市私立㦡學文理短期補習班,佳里區復興路38號1-2樓,(06)7238882,南市教社字第1130092817號,2024-01-12
62202401020002,臺南市私立翻轉讀書繪文理技藝短期補習班,東區崇明路187巷7號1-2樓,(06)2679239,南市教社字第1130086226號,2024-01-09
62202312280003,得勝者文教股份有限公司附設臺南市私立得勝者文教文理短期補習班,中西區北門路一段101號10樓,(06)2228018,南市教社字第1130084314號,2024-01-08
62202312190001,臺南市私立晉吉文理短期補習班,西港區慶安路237之4號1-2樓,(06)7954591,南市教社字第1121705984號,2023-12-28
62202312080001,臺南市私立睿思文理技藝短期補習班,新市區大順三路125號3樓之1,(06)5051660,南市教社字第1121701040號,2023-12-26
62202312140002,臺南市私立學好文理短期補習班,東區東平路253號1-2樓,(06)2095588,南市教社字第1121673965號,2023-12-22
62202312140001,臺南市私立先巧聖文理短期補習班,南區萬年五街352號1-2樓,(06)2626007,南市教社字第1121674076號,2023-12-22
62202312070001,臺南市私立佳賀文理短期補習班,安南區溪東一街110號1-4樓,(06)2508008,南市教社字第1121698384號,2023-12-22
62202311200001,臺南市私立愛上文理短期補習班,永康區國光六街86號1-2樓及夾層,(06)2050512,南市教社字第1121569979號,2023-12-11
62202311240001,臺南市私立宇能文理短期補習班,東區崇善路182巷17號1-2樓,0960346883,南市教社字第1121574203號,2023-11-30
62202311130001,華鑫閣文教事業有限公司附設臺南市私立華鑫閣文理短期補習班,永康區中山路42之2號1-2樓,(06)2016311,南市教社字第1121526575號,2023-11-28
62202311060001,臺南市私立達瑞文理短期補習班,東區崇學路165號1樓,(06)2682277,南市教社字第1121484487號,2023-11-20
62202310030001,杏薪教育科技股份有限公司附設臺南市私立新愛文理短期補習班,新市區光華街181之1號1-2樓,(06)5890176,南市教社字第1121383789號,2023-11-08
62202310190001,臺南市私立維音文理短期補習班九份子分班,安南區宜居路382號1-2樓,063585380,南市教社字第1121380458號,2023-11-07
62202310170001,臺南市私立分霸文理短期補習班,西港區慶安路228巷6號1-2樓,(06)7955771,南市教社字第1121407445號,2023-11-02
62202310020001,臺南市私立學享文理短期補習班,東區崇明路552號1-4樓,(06)2683000,南市教社字第1121354057號,2023-10-24
62202309200001,臺南市私立悠悅技藝短期補習班,"永康區東橋 一路410號1-2樓",(06)3029136,南市教社字第1121324579號,2023-10-20
62202308300001,杏薪教育科技股份有限公司附設臺南市私立愛安南文理短期補習班,安南區安中路三段288號1-2樓,(06)2474178,南市教社字第1121275811號,2023-10-06
62202309230001,臺南市私立助升文理短期補習班,安南區國安街195號1-2樓,(06)2802280,南市教社字第1121304199號,2023-10-04
62202308140001,臺南市私立天語文理短期補習班,新化區太平街134巷37號1-2樓,(06)5983337,南市教社字第1121216383號,2023-09-28
62202308250001,臺南市私立佳佳文理短期補習班光華分班,佳里區光華街123號1-2樓,(06)7237208,南市教社字第1121164138號,2023-09-27
62202308290001,臺南市私立小樹文理短期補習班,安南區安中路三段296號1-2樓,(06)2450522,南市教社字第1121168514號,2023-09-19
62202308210001,臺南市私立璿杰文理技藝短期補習班,佳里區延平路630巷18號1-2樓,(06)7214188,南市教社字第1121163971號,2023-09-14
62202308160002,臺南市私立鈞沅文理短期補習班,新營區新北五街143巷3號1-2樓,(06)6590048,南市教社字第1121096471號,2023-09-05
62202308090002,臺南市私立芊羽文理短期補習班,新營區大同路33之1號1-2樓,0916668336,南市教社字第1121049703號,2023-08-28
62202308090001,臺南市私立雪人文理短期補習班,東區崇學路96巷44號1-3樓,(06)2682101,南市教社字第1121068533號,2023-08-23
62202308160001,臺南市私立謙藝術技藝短期補習班,東區裕文路92號1-2樓,(06)3311731,南市教社字第1121085725號,2023-08-23
62202307180003,臺南市私立朝日文理技藝短期補習班,安南區樂安二街62號1-2樓,(06)2568889,南市教社字第1121031335號,2023-08-14
62202307180002,臺南市私立超悅文理技藝短期補習班,永康區大灣六街42之1號1-3樓,(06)2057758,南市教社字第1120967647號,2023-08-07
62202307200001,臺南市私立維亞樂技藝短期補習班,東區崇明十七街25號1-2樓,(06)2892698,南市教社字第1120973689號,2023-08-03
62202307180001,臺南市私立明耀文理短期補習班,中西區南門路233號1-2樓,(06)2155522,南市教社字第1120972082號,2023-08-01
62202306050001,何嘉仁文教事業股份有限公司附設臺南市私立嘉禾文理短期補習班,永康區東橋七路217號1-3樓,(06)3023500,南市教社字第1120834658號,2023-07-06
62202306190001,臺南市私立布拉克星球文理技藝短期補習班,北區中華北路二段113號1-2樓,(06)2089382,南市教社字第1120838538號,2023-07-03
62202306020001,臺南市私立葟霖文理短期補習班,善化區陽光大道228號1-2樓,(06)5830027,南市教社字第1120774570號,2023-06-21
62202305240001,臺南市私立龍君技藝短期補習班,北區文成三路906號1-2樓,(06)2820703,南市教社字第1120777420號,2023-06-16
62202306020002,臺南市私立語橋外語文理短期補習班,東區富農街一段188巷61號1-4樓,(06)2678641、2679368,南市教社字第1120777657號,2023-06-16
62202305300001,臺南市私立士林學府文理短期補習班,柳營區士林里柳營91之34號1-2樓,(06)6224492,南市教社字第1120726150號,2023-06-16
62202305310001,臺南市私立天道酬勤文理短期補習班,安平區郡平路337號1-2樓、地下1樓,(06)2935788,南市教社字第1120730471號,2023-06-15
62202304200001,臺南市私立渼舞蹈技藝短期補習班,新化區中山路605號1樓,(06)5981826,南市教社字第1120707717號,2023-06-06
62202305240002,臺南市私立金升大文理短期補習班,東區東安路133號1-2樓,(06)2088188,南市教社字第1120711086號,2023-06-02
62202305160001,臺南市私立廣錠文理技藝短期補習班,新營區三興街29號1-2樓,(06)6357738,南市教社字第1120693690號,2023-05-31
62202305020001,傑競弘升文教事業股份有限公司附設臺南市私立傑勁文理短期補習班,北區西門路三段175號1-2樓,(06)2200100,南市社教字第1120607513號,2023-05-11
62202303310001,臺南市私立超卓越文理短期補習班善化自立分班,善化區自立路124號1-2樓,(06)5833332,南市教社字第1120502149號,2023-04-27
62202304060001,臺南市私立耀學堡文理技藝短期補習班,善化區建國路33號1-2樓,(06)5831363,南市教社字第1120502181號,2023-04-27
62202304110001,永華科學教育有限公司附設臺南市私立永華科學文理短期補習班,東區長榮路一段194號1-2樓,(06)2083080,南市教社字第1120514696號,2023-04-27
62202303270001,卓躍文教有限公司附設臺南市私立叡揚文理短期補習班,永康區文賢街32號1-2樓,(06)2710553,南市教社字第1120474260號,2023-04-19
62202303270002,臺南市私立温老師文理短期補習班,永康區文賢街171號1-2樓,(06)2052626,南市教社字第1120450395號,2023-04-17
62202210190001,臺南市私立育英文理短期補習班,官田區裕民街2號1-2樓,(06)5790545,南市教社字第1120405316號,2023-04-07
62202303060001,臺南市私立楊立文理短期補習班,新營區東興路105號1-2樓,(06)6328019,南市教社字第1120389832號,2023-03-27
62202301120001,臺南市私立巧益思文藝文理技藝短期補習班,北區大港街144號之1(1-3樓),(06)3505090,南市教社字第1120122769號,2023-03-16
62202303010001,臺南市私立德林文理短期補習班,新市區中正路269號1-2樓,(06)5896702,南市教社字第1120314664號,2023-03-15
62202302160001,臺南市私立樂恩文理短期補習班,安平區府平路267巷6號1-2樓,(06)2950871,南市教社字第1120264970號,2023-03-10
62202302040001,盛崴國際有限公司附設臺南市私立佳昇文理短期補習班,安南區溪東一街100號1-2樓、102號1-2樓,(06)3589277,南市教社字第1120253663號,2023-02-22
62202212220002,瑞世文創有限公司附設臺南市私立文元趣文理技藝短期補習班,北區文成二路261號1-4樓(1樓為附設停車空間),(06)2519191,南市教社字第1120122957號,2023-02-20
62202301310001,臺南市私立李怡文理短期補習班,新營區府西路22巷1號1-2樓,0909227668,南市教社字第1120160817號,2023-02-15
62202301170001,臺南市私立書圓文理技藝短期補習班,安南區宜居三路70號1-2樓,(06)3581508,南市教社字第1120184500號,2023-02-06
62202301030001,臺南市私立緹森文理短期補習班安順分班,安南區安豐五街127號1-4樓,(06)3560998,南市教社字第1120073907號,2023-01-31
62202301040001,臺南市私立思多瑞文理短期補習班,中西區健康路一段146之1號1-2樓,(06)2145085,南市教社字第1120073856號,2023-01-19
62202301040002,臺南市私立艾莉亞文理技藝短期補習班,新化區建國街61號之2(1-2樓),(06)5988518,南市教社字第1120068881號,2023-01-18
62202301050001,臺南市私立愛麗思文理短期補習班,鹽水區和平路305號1樓,0921022876,南市教社字第1120077463號,2023-01-10
62202212220001,臺南市私立柏菲特文理短期補習班,北區大興街164巷43號1-2樓,(06)3584778,南市教社字第1111698043號,2023-01-04
62202212120001,享學趣文教有限公司附設臺南市私立金采文理技藝短期補習班,永康區大橋三街138號1樓及夾層,(06)3021225,南市教社字第1111670328號,2023-01-04
62202212230001,臺南市私立阜國文理短期補習班,新營區新進路348號1-2樓,(06)6372020,南市教社字第1111682371號,2023-01-03
62202212080001,臺南市私立樂學文理短期補習班,永康區南工街212巷13弄50號1-2樓,(06)2044966,南市教社字第1111643176號,2022-12-29
62202211290001,臺南市私立柏森文理技藝短期補習班,仁德區中正西路211巷8號1-2樓,(06)2666491,南市教社字第1111556093號,2022-12-06
62202211030001,臺南市私立達標文理短期補習班,歸仁區文化街一段110號1-2樓,(06)2305505,南市社字第1111491578號,2022-11-24
62202210060001,育光有限公司附設臺南市私立旭展文理短期補習班,東區東寧路410號1-4樓,(06)2089407,南市教社字第1111378832號,2022-11-18
62202210050002,臺南市私立威穎文理短期補習班,永康區永華路36號1-2樓,(06)2071441,南市教社字第1111437610號,2022-11-15
62202211070001,臺南市私立瑀睿教育文理技藝短期補習班,安南區宜居三路68號1-2樓,(06)3589057,南市教社字第1111456671號,2022-11-14
62202210180001,臺南市私立大唐米文理技藝短期補習班,南區健康路二段441號1-2樓,(06)2638201,南市教社字第1111380653號,2022-11-08
62202210180002,臺南市私立科想家文理短期補習班,中西區民權路一段205號2樓之1,(06)2217298,南市教社字第1111390098號,2022-11-07
62202210240001,臺南市私立勤里學文理短期補習班,北區育成路191巷29號1-2樓,(06)2516365,南市教社字第1111408262號,2022-11-03
62202210050001,臺南市私立安富永欣文理技藝短期補習班,安南區安富街29號1-2樓,(06)2589711,南市教社字第1111349513號,2022-10-20
62202209230001,臺南市私立昶穎文理短期補習班,佳里區公園路550號1-2樓,(06)7212266,南市教社字第1111282140號,2022-10-11
62202209280001,中央資優文教有限公司附設臺南市私立選才文理短期補習班,仁德區中正路二段222號1-2樓,(06)2791909,南市教社字第1111282150號,2022-10-11
62202208290001,杏薪教育科技股份有限公司附設臺南市私立愛橋文理短期補習班,永康區大橋二街277號1-2樓,(06)3022886,南市教社字第1111233852號,2022-09-28
62202208090001,金愛家教育科技股份有限公司附設臺南市私立AI復興文理短期補習班,東區裕文路175號1-3樓,(06)3315500,南市教社字第1111069752號,2022-09-22
62202209010001,臺南市私立英倫文理短期補習班,安平區永華三街267號1-2樓,(06)2992836,南市教社字第1111176907號,2022-09-14
62202207270001,大必佳國際文教科技股份有限公司附設臺南市私立永必佳文理短期補習班,永康區復華七街153號1-3樓,(06)2022038,南市教社字第1111127517號,2022-09-02
62202207180001,臺南市私立生活力文理短期補習班,歸仁區信義南路173號1-2樓,(06)2303124,南市教社字第1110943763號,2022-08-24
62202207200001,臺南市私立堉成文理短期補習班,仁德區德崙路37號1樓,(06)2798952,南市教社字第1110976904號,2022-08-15
62202207200002,臺南市私立思必可外語文理短期補習班,安南區樂活路95號1-2樓,(06)2580212,南市教社字第1110966083號,2022-08-01
62202207070001,臺南市私立秧秧文理技藝短期補習班,東區裕文路80號1-2樓,0911177141,南市教社字第1110916770號,2022-07-27
62202207070002,大山文教股份有限公司附設臺南市私立太山文理短期補習班,東區東安路211號1-2樓,(06)2087786,南市教社字第1110918487號,2022-07-19
62202207050001,荷樂股份有限公司附設臺南市私立荷樂文理技藝短期補習班,東區長榮路二段90號1-2樓,(06)2090252,南市教社字第1110873240號,2022-07-12
62202206290001,臺南市私立睿育文理短期補習班,永康區大灣六街33號1-2樓,(06)2059888,南市教社字第1110866978號,2022-07-12
62202206210001,臺南市私立超學文理短期補習班,安平區建平九街40號1-2樓,(06)2957289,南市教社字第1110868659號,2022-07-11
62202206300001,臺南市私立捷勝文理短期補習班復興分班,東區裕文路66號1-2樓,(06)3314199,南市教社字第1110872264號,2022-07-11
62202206290002,臺南市私立楊杰文理短期補習班,北區臨安路二段277號1-2樓,(06)2582826,南市教社字第1110850663號,2022-07-08
62202206070001,臺南市私立承聖文理短期補習班,新營區新進路102號1-2樓,(06)6572285,南市教社字第1110772506號,2022-07-04
62202205250001,臺南市私立艾可歐藝術森林技藝短期補習班,麻豆區文昌路25之1號1-2樓,(06)5722030,南市教社字第1110722432號,2022-06-13
62202112030001,嶺瀚文教事業有限公司附設臺南市私立非凡文理短期補習班安南分班,安南區海中街774巷24號1-2樓,(06)2551366,南市教社字第1110677446號,2022-05-31
62202205050001,臺南市私立樂享學文理短期補習班,東區長榮路二段142號1樓,(06)2092123,南市教社字第1110629559號,2022-05-16
62202204140001,臺南市私立金育文理短期補習班,東區民族路1段29號1-2樓,(06)2088822,南市教社字第1110510405號,2022-04-21
62202204140002,臺南市私立睿博文理短期補習班,東區東寧路414號1-2樓,(06)2088812,南市教社字第1110509947號,2022-04-21
62202204060001,百納千川教育科技有限公司附設臺南市私立愛崇明文理短期補習班,東區崇道路18號1-2樓,(06)7003779,南市教社字第1110470811號,2022-04-21
62202203090001,臺南市私立敏師文理短期補習班,永康區大灣三街73巷17號1-2樓,(06)2059420,南市教社字第1110462284號,2022-04-12
62202203230001,臺南市私立佾邑文理技藝短期補習班,安南區府安路五段98巷56弄266號1-3樓,(06)3587658,南市教社字第1110419470號,2022-04-01
62202202150001,臺南市私立幼柏士短期補習班崇明分班,東區崇明路718號1-2樓,(06)2677210,南市教社字第1110243757號,2022-03-23
62202202220001,威爾森文教事業股份有限公司附設臺南市私立愛瑞汀文理短期補習班,東區崇善路195-1號1-2樓,(06)2670920,南市教社字第1110282810號,2022-03-07
62202111090001,傑競弘升文教事業股份有限公司附設臺南市私立傑文文理短期補習班,佳里區文化路342號1-2樓,(06)7230470,南市教社字第1110295133號,2022-03-02
62202201120001,臺南市私立金霖文理短期補習班,新市區華興街7號1-2樓,(06)5895880,南市教社字第1110123089號,2022-01-21
62202112010001,臺南市私立京妟文理短期補習班,永康區東橋五路508號1-2樓,(06)3026099,南市教社字第1110120576號,2022-01-21
62202111300001,臺南市私立耘華技藝短期補習班,永康區龍昌街11號1-2樓,(06)2033971,南市教社字第1110055274號,2022-01-11
62202111250001,臺南市私立縱新文理短期補習班,新市區光華街175號1-2樓、175之1號1樓,(06)202322,南市教社字第1110055283號,2022-01-11
62202111230002,臺南市私立維德文理短期補習班,永康區民族路273巷18號1-2樓,(06)2710211,南市教社字第1110055236號,2022-01-11
62202111230001,臺南市私立嘉捷文理短期補習班,善化區民生路158號1-2樓,(06)5856905,南市教社字第1101454100號,2021-12-27
62202112100001,臺南市私立AI鼎豐文理短期補習班,東區東安路192號1-2樓,(06)2097700,南市教社字第1101513926號,2021-12-22
62202111100002,明光建興文教有限公司附設臺南市私立明光建興文理短期補習班,中西區府前路一段181之2號1樓,(06)2140505,南市教社字第1101406044號,2021-12-13
62202111220001,得勝者文教股份有限公司附設臺南市私立丞哲文理短期補習班,中西區北門路一段101號11樓,(06)2235355,南市教社字第1101425619號,2021-12-10
62202111100001,田昆玄數學教育有限公司附設臺南市私立金中山文理短期補習班,中西區忠義路一段51號1-2樓,(06)2146939,南市教社字第1101405840號,2021-11-23
62202111170001,臺南市私立育仁文理短期補習班,安南區宜居路390號1-2樓,(06)3507880,南市教社字第11014058211號,2021-11-17
62202110210001,杏薪教育科技股份有限公司附設臺南市私立愛興文理短期補習班,中西區忠義路一段66號1-2樓,(06)2148897,南市教社字第1101289239號,2021-11-15
62202111020001,臺南市私立崇明趣文理技藝短期補習班,東區崇明路585號1-2樓,(06)2609080,南市教社字第1101339711號,2021-11-10
62202110140001,臺南市私立見橋文理短期補習班,安南區海佃路二段736號1-4樓,(06)2558787,南市教社字第1101314450號,2021-11-04
62202109240001,臺南市私立上鼎文理短期補習班,永康區復華八街62巷10號1-3樓,(06)2040369,南市教社字第1101240249號,2021-10-26
62202109090001,宇頡文教有限公司附設臺南市私立宇頡文理短期補習班,永康區東橋十街76號1-2樓,(06)3023075,南市教社字第1101240266號,2021-10-26
62202109140001,臺南市私立榮鑰文理短期補習班,西港區慶安路212號1-2樓,(06)7962999,南市教社字第1101163850號,2021-10-13
62202109160001,臺南市私立金福文理短期補習班,中西區中正路83號1-2樓,(06)2206063,南市教社字第1101187948號,2021-10-05
